Product Name,FSN,Installation Doc URL,Note
Office 2024 Professional Plus for Windows,OFFICE2024-WIN,https://simplysolutions.co.in/installation-docs/office2024win,
Office 2021 Professional Plus,OFFGHYUUFTD9NQNE,https://simplysolutions.co.in/installation-docs/office2021,
Office 2019 Professional Plus,OPSG4ZTTK5MMZWPB,https://simplysolutions.co.in/installation-docs/office2019,
Office 2016 Professional Plus,PP2016,https://simplysolutions.co.in/installation-docs/office2019,
Microsoft 365 Professional Plus,OFFICE365,https://simplysolutions.co.in/installation-docs/office365,
Microsoft 365 Enterprise,365E5,https://simplysolutions.co.in/installation-docs/office365ent,
Office 2024 for Mac,OFFICE2024-MAC,https://simplysolutions.co.in/installation-docs/office2024mac,
Windows 10/11 Pro (Upgrade from Home),WINDOWS11,https://simplysolutions.co.in/installation-docs/win11-win10pro_upgrade,For users upgrading from Windows Home to Pro
Windows 10/11 Pro (Fresh Install/Already Pro),WINDOWS11,https://simplysolutions.co.in/installation-docs/win11-win10pro,For users with fresh install or already on Pro version
Windows 11 Pro (Upgrade from Home),WINDOWS11,https://simplysolutions.co.in/installation-docs/win11-win10pro_upgrade,For users upgrading from Windows 11 Home to Pro
Windows 11 Pro (Fresh Install/Already Pro),WINDOWS11,https://simplysolutions.co.in/installation-docs/win11-win10pro,For users with fresh install or already on Pro version
Windows 10 Pro (Upgrade from Home),OPSG3TNK9HZDZEM9,https://simplysolutions.co.in/installation-docs/win11-win10pro_upgrade,For users upgrading from Windows 10 Home to Pro
Windows 10 Pro (Fresh Install/Already Pro),OPSG3TNK9HZDZEM9,https://simplysolutions.co.in/installation-docs/win11-win10pro,For users with fresh install or already on Pro version
Windows 10/11 Home,WIN11HOME,https://simplysolutions.co.in/installation-docs/win11_win10home,
Windows 10/11 Enterprise,WIN10ENTERPRISE,https://simplysolutions.co.in/installation-docs/win11-win10pro_upgrade,
Windows 11 Pro + Office 2021 Combo,WIN11-PP21,https://simplysolutions.co.in/installation-docs/win11-pp2021_combo,Combo pack with Office 2021
Windows 11 Pro + Office 2024 Combo,WIN11-PP24,https://simplysolutions.co.in/installation-docs/win11-pp2024_combo,Combo pack with Office 2024
Canva Pro,CANVA,https://simplysolutions.co.in/installation-docs/canva,
AutoCAD 1-Year Subscription,AUTOCAD-1YEAR,https://simplysolutions.co.in/installation-docs/autocad,
AutoCAD 3-Year Subscription,AUTOCAD-3YEAR,https://simplysolutions.co.in/installation-docs/autocad,
Visio 2021 Professional,VISIO2021,https://simplysolutions.co.in/installation-docs/visio2021,
Project 2021 Professional,PROJECT2021,https://simplysolutions.co.in/installation-docs/project2021,
Gemini Pro Advanced 2.5,GEMINI,,
Adobe Acrobat Pro 2024,ACROBAT2024,https://simplysolutions.co.in/installation-docs/acrobat2024,
