item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	optional-payment-type-exclusion	merchant-shipping-group	status	maximum-retail-price
OFF-S Professional Plus 2021 | (1 User, Lifetime Validity) Retail License Key - New Version | Lifetime Updates & Reinstallations | Includes Latest Updated Released [Software Key Card]		0110HWDUYEM	1CCV-BL14-F9RO	1499	0	2026-01-10 13:02:59 IST		y	1			11				B0GFCYYX99						B0GFCYYX99			0	DEFAULT		Migrated Template	Inactive	9999.0
OFF-S Professional Plus 2021 & Win 11 Professional COMBO PACK | (1 User,Lifetime Validity) Retail License 32/64 Bit | Unlimited Reinstallations and Regular Updates | Quick Delivery (Win 10/11 & 2024 Pro Plus (Combo), PC) [Software Key Card]		0110HW5R0QJ	1CCV-BL14-FNWP	2099	0	2026-01-10 13:02:58 IST		y	1			11				B0GFD72V9P						B0GFD72V9P			0	DEFAULT		Migrated Template	Inactive	11999.0
Win 10/11 Pro Product License Key (1 User/PC, Lifetime Validity) 32/64 Bit | Unlimited Reinstallations (Quick Delivery) | 2025 Edition [Software Key Card]		0110HWJRKSJ	1CCV-BL14-GA6F	1499	0	2026-01-10 13:02:54 IST		y	1			11				B0GFD39GSF						B0GFD39GSF			0	DEFAULT		Migrated Template	Inactive	4999.0
Win 10 Pro Product License Key (1 User/PC, Lifetime Validity) 32/64 bit | Unlimited Reinstallations (Quick Delivery) [Software Key Card]		0110HWAUPP5	1CCV-BL14-GHLA	799	0	2026-01-10 13:02:55 IST		y	1			11				B0GFCQVPFP						B0GFCQVPFP			0	DEFAULT		Migrated Template	Inactive	4999.0
Win 10/11 Home Product License Key (1 User/PC, Lifetime Validity) 32/64 bit | Unlimited Reinstallations (Quick Delivery) (Win 10/11 Home, PC) [Software Key Card]		0110HWAYQX6	1CCV-BL14-GJY8	749	0	2026-01-10 13:02:56 IST		y	1			11				B0GFD43YQ6						B0GFD43YQ6			0	DEFAULT		Migrated Template	Inactive	4999.0
Win 10/11 Enterprise Product License Key (1 User/PC, Lifetime Validity) 32/64 bit | Unlimited Reinstallations (Quick Delivery) [Software Key Card]		0110HWAMDSH	1CCV-BL14-GNMC	1499	0	2026-01-10 13:02:56 IST		y	1			11				B0GFCYLGZ2						B0GFCYLGZ2			0	DEFAULT		Migrated Template	Inactive	6999.0
M S Professional Plus 2021 Lifetime | (1 User) Retail License Key | 1 Year Validity | Latest Version | Lifetime Regular Updates & Reinstallations | Latest Updated 2025 [Software Key Card]		0110HWD0KB8	1CCV-BL14-GNPA	1499	0	2026-01-10 13:02:58 IST		y	1			11				B0GFCXTRX8						B0GFCXTRX8			0	DEFAULT		Migrated Template	Inactive	9999.0
Win 11 Pro Product License Key (1 User/PC, Lifetime Validity) 32/64 bit | Unlimited Reinstallations (Quick Delivery) [Software Key Card]		0110HWAUMVI	1CCV-BL14-GW8J	999	0	2026-01-10 13:03:00 IST		y	1			11				B0GFCY86RC						B0GFCY86RC			0	DEFAULT		Migrated Template	Inactive	4999.0
Win 11 Pro Lifetime Activation Retail License Product Key (1 Device, 32/64 Bit) | Permanent Activation | Reinstallation Supported (100% Genuine) [Software Key Card]		0110HWAKQZ6	1CCV-BL14-H1L8	899	0	2026-01-10 13:02:57 IST		y	1			11				B0GFD4628T						B0GFD4628T			0	DEFAULT		Migrated Template	Inactive	4999.0
Canva Pro Lifetime Subscription (1 User) | Activates on Your Account | Genuine License with All AI Tools Included | Magic Studio + Visual Suite 2.0, Canva Code, Canva Sheets ,Magic Charts, AI Image Generation | Multi-Device Support with Cloud Storage (Quick Delivery) [Software Key Card]		0110HWDH1J7	1CCV-BL14-H4RD	2499	0	2026-01-10 13:03:00 IST		y	1			11				B0GFCNRFMF						B0GFCNRFMF			0	DEFAULT		Migrated Template	Inactive	12999.0
AutoCAD (Latest 2026 Edition with Ai) 3-Years Subscription NEW 100% Genuine (3 Users/ 3 Devices) (For Windows, MacOS, Android, iOS, M1, M2, M3, M4) (INCLUDES 24+ Specialized Toolsets, architecture, engineering, Agriculture & more) (Quick Delivery) [Software Key Card]		0110HWD8QCQ	1CCV-BL1J-YMVN	5999	0	2026-01-10 13:03:04 IST		y	1			11				B0GFD217X6						B0GFD217X6			0	DEFAULT		Migrated Template	Inactive	14999.0
AutoCAD Software 1-Year Subscription (1 User, 3 Devices) (For Windows, MacOS, Android, iOS, M1, M2) (All Original versions Included) (Quick Delivery) [Software Key Card]		0110HW7Z3G5	1CCV-BL1J-YSKJ	3999	0	2026-01-10 13:03:05 IST		y	1			11				B0GFCW3XDK						B0GFCW3XDK			0	DEFAULT		Migrated Template	Inactive	13999.0
Canva Pro Lifetime Subscription (1 User) | Activates on Your Canva Account | Genuine License with All AI Tools Included | Magic Studio + Visual Suite 2.0, Canva Code, Canva Sheets ,Magic Charts, AI Image Generation | Multi-Device Support with Cloud Storage (Quick Delivery) [Software Key Card]		0110HWLPF9Y	1CCV-BL1J-YZ59	2499	0	2026-01-10 13:03:07 IST		y	1			11				B0GFD33T8C						B0GFD33T8C			0	DEFAULT		Migrated Template	Inactive	12999.0
AutoCAD Software 3-Year Subscription (1 User, 3 Devices) (For Windows, MacOS, Android, iOS, M1, M2) (All Original versions Included) (Quick Delivery) Guaranteed Support [Software Key Card]		0110HWE5D59	1CCV-BL1J-Z11D	5999	0	2026-01-10 13:03:05 IST		y	1			11				B0GFD7FY8D						B0GFD7FY8D			0	DEFAULT		Migrated Template	Inactive	14999.0
OFF-S 2019 Professional Plus Retail License Key for Windows (1 User, Lifetime Validity) | Unlimited Reinstallations with Regular Updates (Quick Delivery) [Software Key Card]		0110HWLWC4A	1CCV-BL1J-ZN8C	1299	0	2026-01-10 13:03:06 IST		y	1			11				B0GFCRK3JH						B0GFCRK3JH			0	DEFAULT		Migrated Template	Inactive	6999.0
M S Home 2024 for macOS – New 2025 Edition | Lifetime License | 1 User | Supports M1, M2, M3, M4 Mac Versions | Pre-Activated | Unlimited Reinstalls & Lifetime Updates [Software Key Card]		0110HWJNXOR	1CCV-BL1J-ZYED	1699	0	2026-01-10 13:03:01 IST		y	1			11				B0GFDBZLPK						B0GFDBZLPK			0	DEFAULT		Migrated Template	Inactive	9999.0
M S OFF-S LTSC Professional Plus 2024 | NEW 2026 Update Included | Retail License Key for Windows (1 User/PC, Lifetime Validity) | Unlimited Reinstallations & Regular Updates (Quick Delivery) [Software Key Card]		0110HWDG3PH	1CCV-BL1K-05TR	1699	0	2026-01-10 13:03:03 IST		y	1			11				B0GFCW7Z2Q						B0GFCW7Z2Q			0	DEFAULT		Migrated Template	Inactive	12999.0
OFF-S 2019 Professional Plus for Windows - Retail License Key | (1 User, Lifetime Validity) | Latest Updated & Unlimited Reinstallations (2019 Pro Plus, PC) Quick Delivery [Software Key Card]		0110HWCBXJS	1CCV-BL1K-0F9D	1299	0	2026-01-10 13:03:02 IST		y	1			11				B0GFCWLDM7						B0GFCWLDM7			0	DEFAULT		Migrated Template	Inactive	6999.0
Gemini Pro Advanced 2.5 (Latest Release) | 15-Month Subscription with Veo 3 Video Generator Access | 2TB Cloud Storage & Gemini 2.5 | GenAI Assistant for Windows/Mac/Mobile/Tablet | Unlimited Deep Research [Software Key Card]		0110HWCP2JC	1CCV-BL1K-0H4G	999	0	2026-01-10 13:03:07 IST		y	1			11				B0GFD2WW8R						B0GFD2WW8R			0	DEFAULT		Migrated Template	Inactive	9999.0
M S Home Suite 2024 for macOS – Latest 2025 Exclusive Edition | Lifetime License | 1 User | Supports M1, M2, M3, M4 Macs | Pre-Activated | Unlimited Reinstalls & Lifetime Updates (Quick Delivery) [Software Key Card]		0110HW5XJSR	1CCV-BL1K-0KGT	1799	0	2026-01-10 13:03:02 IST		y	1			11				B0GFCXT8RG						B0GFCXT8RG			0	DEFAULT		Migrated Template	Inactive	11999.0
Visio 2021 Professional - Retail Product License Key | 1 User/PC/Laptop (Lifetime Validity) | Quick Delivery | Unlimited installations with regular updates [Software Key Card]		0110HWLWC27	1CCV-BL1Z-C6RQ	1899	0	2026-01-10 13:03:12 IST		y	1			11				B0GFCY2D33						B0GFCY2D33			0	DEFAULT		Migrated Template	Inactive	7999.0
OFF-S 2016 Professional Plus for Windows Retail License Key | (1 User, Lifetime Validity) | Regular Updates & Unlimited Reinstallations | Compatible with Windows 7, 8, 8.1 ,10 (2016 Pro Plus, PC) (Quick Delivery) [Software Key Card]		0110HWDZY4V	1CCV-BL1Z-CBQM	999	0	2026-01-10 13:03:14 IST		y	1			11				B0GFD71MNQ						B0GFD71MNQ			0	DEFAULT		Migrated Template	Inactive	4499.0
M S Professional Plus 365 Copilot (New 2026 Version) | (5 Devices, Lifetime Validity) Supports Win, MacOS, iOS, Android | 100GB Lifetime Cloud Storage | Lifetime Updates & Reinstallations [Software Key Card]		0110HWGF9X8	1CCV-BL1Z-CHBA	1799	0	2026-01-10 13:03:10 IST		y	1			11				B0GFDB19CZ						B0GFDB19CZ			0	DEFAULT		Migrated Template	Inactive	13999.0
OFF-S Professional Plus 2021 for Windows - New 2025 Updated Version | Retail License Key (1 User/PC, Lifetime Validity) | Regular Updates & Unlimited Installations (Quick Delivery) [Software Key Card]		0110HWGP92R	1CCV-BL1Z-CWMN	1499	0	2026-01-10 13:03:09 IST		y	1			11				B0GFCVX9N5						B0GFCVX9N5			0	DEFAULT		Migrated Template	Inactive	9999.0
OFF-S Pro Plus LTSC 2024 Full Edition | (New 2025 Updated) Lifetime Retail Key for Windows (1 PC/User) | Unlimited Installations | Latest Version | Lifetime Updates [Software Key Card]		0110HWCJJQA	1CCV-BL1Z-CYO9	1699	0	2026-01-10 13:03:13 IST		y	1			11				B0GFCQ2KHC						B0GFCQ2KHC			0	DEFAULT		Migrated Template	Inactive	9999.0
Acrobat DC Pro 2024 PDF Reader & Editor (New) PremiuM Software (for Win OR MacOS) | (Pre-Activated) Advanced PDF Tools: Edit, Convert, Sign, Secure | Offline Use | Lifetime Validity | Unlimited Reinstallations [Software Key Card]		0110HW5USGI	1CCV-BL1Z-D0X1	1799	0	2026-01-10 13:03:09 IST		y	1			11				B0GFD1SXMQ						B0GFD1SXMQ			0	DEFAULT		Migrated Template	Inactive	9999.0
M S 365 Enterprise Edition with Copilot Ai | New 2026 Launch | (5 Devices, Lifetime Validity) for Win, iOS, macOS, iPADOS, Android | 5TB Cloud Storage for lifetime | Regular Updates with Unlimited Reinstallations [Software Key Card]		0110HWE0WP9	1CCV-BL1Z-D26E	2499	0	2026-01-10 13:03:11 IST		y	1			11				B0GFD2TPQD						B0GFD2TPQD			0	DEFAULT		Migrated Template	Inactive	14999.0
