Product Name,FSN,Installation Doc URL
"Windows 10/11 Pro","WINDOWS11","https://simplysolutions.co.in/installation-docs/win10_11pro"
"Windows 10 Pro","OPSG3TNK9HZDZEM9","https://simplysolutions.co.in/installation-docs/win10_11pro"
"Windows 10/11 Home","WIN11HOME","https://simplysolutions.co.in/installation-docs/win10_11home"
"Windows 10/11 Enterprise","WIN10ENTERPRISE","https://simplysolutions.co.in/installation-docs/win11ent"
"Office 2024 LTSC Professional Plus","OFFICE2024-WIN","https://simplysolutions.co.in/installation-docs/office2024win"
"Office 2019 Professional Plus","OPSG4ZTTK5MMZWPB","https://simplysolutions.co.in/installation-docs/office2019"
"Office 2016 Professional Plus","PP2016","https://simplysolutions.co.in/installation-docs/office2019"
"Microsoft 365 Professional Plus","OFFICE365","https://simplysolutions.co.in/installation-docs/office365"
"MS 365 Enterprise with Copilot","365E5","https://simplysolutions.co.in/installation-docs/office365"
"Office 2021 + Windows 11 Combo","WIN11-PP21","https://simplysolutions.co.in/installation-docs/win11-pp2021_combo"
"MS Home 2024 for macOS","OFFICE2024-MAC","https://simplysolutions.co.in/installation-docs/office2024mac"
"Canva Pro Lifetime","CANVA","https://simplysolutions.co.in/installation-docs/canva"
"AutoCAD 1-Year","AUTOCAD-1YEAR","https://simplysolutions.co.in/installation-docs/autocad"
"AutoCAD 3-Year","AUTOCAD-3YEAR","https://simplysolutions.co.in/installation-docs/autocad"
"Visio 2021 Professional","VISIO2021","https://simplysolutions.co.in/installation-docs/visio2021"
"Project Professional 2021","PROJECT2021","https://simplysolutions.co.in/installation-docs/project2021"
"Office 2021 Professional Plus","OFFG9MREFCXD658G","https://simplysolutions.co.in/installation-docs/office2021"
"Gemini Pro Advanced 2.5 (15-Month Subscription with Veo 3)","GEMINI",""
"Acrobat DC Pro 2024 PDF Reader & Editor (for Win OR MacOS)","ACROBAT2024","https://simplysolutions.co.in/installation-docs/acrobat2024"
"Office 2024 + Windows Combo","WIN11-PP24","https://simplysolutions.co.in/installation-docs/win11-pp2024_combo"
