SKU,Product Name,Correct FSN,Notes
OFF_1,Windows 10/11 Pro Product License Key,WINDOWS11,Windows 10/11 Pro
OFF_2,Microsoft Office 2019 Professional Plus,OPSG4ZTTK5MMZWPB,Office 2019 Pro Plus
OFF_3,Microsoft Office Professional Plus 2021,OFFG9MREFCXD658G,Office 2021 Pro Plus
OFF_4,Microsoft Office 2016 Professional Plus,PP2016,Office 2016 Pro Plus
OFF_5,Microsoft Office Microsoft 365 Professional Plus Edition,OFFICE365,Office 365 Pro Plus
OFF_6,Microsoft OfficeSUITE Copilot 365 Pro Plus,OFFICE365,Office 365 Pro Plus with Copilot
OFF_7,Microsoft Office 2024 LTSC Professional Plus,OFFICE2024-WIN,Office 2024 LTSC Pro Plus Windows
OFF_8,Microsoft Professional Plus 2024 & Windows 10/11 COMBO,WIN11-PP24,Windows + Office 2024 Combo
OFF_9,Microsoft Office 2024 LTSC Standard for macOS,OFFICE2024-MAC,Office 2024 Mac
OFF_10,Windows 10 Pro Product License Key,OPSG3TNK9HZDZEM9,Windows 10 Pro
OFF_11,Windows 10/11 Enterprise Product License Key,WIN11ENTERPRISE,Windows Enterprise
OFF_12,Windows 10/11 Home Product License Key,WIN11HOME,Windows 11 Home
OFF_13,Windows 11 Pro Lifetime Activation,WINDOWS11,Windows 11 Pro
OFF_14,Microsoft Office Professional Plus 2021 & Windows 11 COMBO,WIN11-PP21,Windows + Office 2021 Combo
OFF_15,Microsoft Professional Plus 2021 Lifetime,OFFG9MREFCXD658G,Office 2021 Pro Plus
OFF_16,Microsoft Office Professional Plus 2021,OFFG9MREFCXD658G,Office 2021 Pro Plus
OFF_17,Windows 11 Pro Product License Key,WINDOWS11,Windows 11 Pro
OFF_18,Canva Pro Lifetime Subscription,CANVA,Canva Pro with AI
OFF_19,Microsoft Home 2024 for macOS,OFFICE2024-MAC,Office 2024 for Mac
OFF_20,Microsoft Home Suite 2024 for macOS,OFFICE2024-MAC,Office 2024 Mac
OFF_21,Microsoft OfficeSUITE LTSC Professional Plus 2024,OFFICE2024-WIN,Office 2024 LTSC Pro Plus Windows
OFF_22,AutoCAD Latest 2026 Edition 3-Years Subscription,AUTOCAD-3YEAR,AutoCAD 3-Year
OFF_23,AutoCAD Software 3-Year Subscription,AUTOCAD-3YEAR,AutoCAD 3-Year
OFF_24,AutoCAD Software 1-Year Subscription,AUTOCAD-1YEAR,AutoCAD 1-Year
OFF_25,Microsoft Office 2019 Professional Plus,OPSG4ZTTK5MMZWPB,Office 2019 Pro Plus
OFF_26,Gemini Pro Advanced 2.5,GEMINI,Gemini Pro Advanced
OFF_27,Canva Pro Lifetime Subscription,CANVA,Canva Pro with AI
OFF_28,Acrobat Pro 2024 Full Version Software,ACROBAT2024,Adobe Acrobat Pro 2024
OFF_29,Acrobat DC Pro 2024 PDF Reader,ACROBAT2024,Adobe Acrobat Pro 2024
OFF_30,Microsoft Professional Plus 365 Copilot,OFFICE365,Office 365 with Copilot
OFF_31,Microsoft 365 Pro Plus with Copilot AI,OFFICE365,Office 365 Pro Plus with Copilot
OFF_32,Microsoft 365 Enterprise Edition with Copilot AI,365E5,Microsoft 365 Enterprise Edition with Copilot
OFF_33,Visio 2021 Professional,VISIO2021,Visio 2021
OFF_34,Project Professional 2021,PROJECT2021,Project 2021
OFF_35,Microsoft Office Pro Plus LTSC 2024,OFFICE2024-WIN,Office 2024 LTSC Pro Plus Windows
OFF_38,Canva Pro Lifetime Subscription,CANVA,Canva Pro with AI
